#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score	annotationID	annotationDescription
ADRM1	PSMD7	9606.ENSP00000478877	9606.ENSP00000219313	0	0.978	0.600	0	0.991	notSpeckle	notSpeckle
ADRM1	PSMA2	9606.ENSP00000478877	9606.ENSP00000223321	0	0.941	0.600	0	0.975	notSpeckle	notSpeckle
ADRM1	PSMB7	9606.ENSP00000478877	9606.ENSP00000259457	0	0.921	0.600	0	0.967	notSpeckle	notSpeckle
ADRM1	PSMC1	9606.ENSP00000478877	9606.ENSP00000261303	0	0.965	0.600	0	0.985	notSpeckle	notSpeckle
ADRM1	PSMA6	9606.ENSP00000478877	9606.ENSP00000261479	0	0.906	0.600	0	0.961	notSpeckle	notSpeckle
ADRM1	USP14	9606.ENSP00000478877	9606.ENSP00000261601	0	0.833	0.600	0	0.930	notSpeckle	notSpeckle
ADRM1	PSMD11	9606.ENSP00000478877	9606.ENSP00000261712	0	0.980	0.600	0	0.991	notSpeckle	notSpeckle
ADRM1	PSMB1	9606.ENSP00000478877	9606.ENSP00000262193	0	0.943	0.600	0	0.976	notSpeckle	notSpeckle
ADRM1	PSMD3	9606.ENSP00000478877	9606.ENSP00000264639	0	0.968	0.600	0	0.986	notSpeckle	notSpeckle
ADRM1	PSMB6	9606.ENSP00000478877	9606.ENSP00000270586	0	0.930	0.600	0	0.970	notSpeckle	notSpeckle
ADRM1	PSMA5	9606.ENSP00000478877	9606.ENSP00000271308	0	0.943	0.600	0	0.976	notSpeckle	notSpeckle
ADRM1	RPS27A	9606.ENSP00000478877	9606.ENSP00000272317	0	0.985	0	0	0.985	notSpeckle	notSpeckle
ADRM1	PSMB4	9606.ENSP00000478877	9606.ENSP00000290541	0	0.943	0.600	0	0.976	notSpeckle	notSpeckle
ADRM1	PSMD1	9606.ENSP00000478877	9606.ENSP00000309474	0	0.979	0.600	0	0.991	notSpeckle	notSpeckle
ADRM1	PSMD2	9606.ENSP00000478877	9606.ENSP00000310129	0	0.980	0.600	0	0.991	notSpeckle	notSpeckle
ADRM1	PSMC5	9606.ENSP00000478877	9606.ENSP00000310572	0	0.963	0.600	0	0.984	notSpeckle	notSpeckle
ADRM1	PSMA8	9606.ENSP00000478877	9606.ENSP00000311121	0	0.781	0.600	0	0.908	notSpeckle	notSpeckle
ADRM1	PSMD12	9606.ENSP00000478877	9606.ENSP00000348442	0	0.980	0.600	0	0.991	notSpeckle	notSpeckle
ADRM1	PSMB10	9606.ENSP00000478877	9606.ENSP00000351314	0	0.766	0.600	0	0.902	notSpeckle	notSpeckle
ADRM1	PSMB5	9606.ENSP00000478877	9606.ENSP00000355325	0	0.904	0.600	0	0.960	notSpeckle	notSpeckle
ADRM1	PSMD4	9606.ENSP00000478877	9606.ENSP00000357879	0	0.970	0.600	0	0.987	notSpeckle	notSpeckle
ADRM1	PSMA7	9606.ENSP00000478877	9606.ENSP00000359910	0	0.927	0.600	0	0.969	notSpeckle	notSpeckle
ADRM1	PSMB2	9606.ENSP00000478877	9606.ENSP00000362334	0	0.960	0.600	0	0.983	notSpeckle	notSpeckle
ADRM1	PSMB9	9606.ENSP00000478877	9606.ENSP00000363993	0	0.766	0.600	0	0.902	notSpeckle	notSpeckle
ADRM1	PSMB8	9606.ENSP00000478877	9606.ENSP00000364016	0	0.904	0.600	0	0.960	notSpeckle	notSpeckle
ADRM1	PSME4	9606.ENSP00000478877	9606.ENSP00000384211	0	0.330	0.600	0	0.720	notSpeckle	notSpeckle
ADRM1	PSMD14	9606.ENSP00000478877	9606.ENSP00000386541	0	0.946	0.600	0	0.977	notSpeckle	notSpeckle
ADRM1	PSMC2	9606.ENSP00000478877	9606.ENSP00000391211	0	0.970	0.600	0	0.987	notSpeckle	notSpeckle
ADRM1	PSMD13	9606.ENSP00000478877	9606.ENSP00000396937	0	0.980	0.600	0	0.991	notSpeckle	notSpeckle
ADRM1	PSMC6	9606.ENSP00000478877	9606.ENSP00000401802	0	0.980	0.600	0	0.991	notSpeckle	notSpeckle
ADRM1	PSMA1	9606.ENSP00000478877	9606.ENSP00000414359	0	0.951	0.600	0	0.979	notSpeckle	notSpeckle
ADRM1	PSMD6	9606.ENSP00000478877	9606.ENSP00000418695	0	0.980	0.600	0	0.991	notSpeckle	notSpeckle
ADRM1	PSMB3	9606.ENSP00000478877	9606.ENSP00000483688	0	0.943	0.600	0	0.976	notSpeckle	notSpeckle
ADRM1	PSMC3	9606.ENSP00000478877	9606.ENSP00000481029	0	0.958	0.600	0	0.982	notSpeckle	notSpeckle
AK6	KAT2A	9606.ENSP00000370193	9606.ENSP00000225916	0	0.792	0.900	0	0.978	notSpeckle	notSpeckle
AK6	TAF4	9606.ENSP00000370193	9606.ENSP00000252996	0	0.978	0.900	0	0.997	notSpeckle	notSpeckle
AK6	TAF5L	9606.ENSP00000370193	9606.ENSP00000258281	0	0.776	0.900	0	0.976	notSpeckle	notSpeckle
AK6	GTF2H4	9606.ENSP00000370193	9606.ENSP00000259895	0	0	0.900	0	0.900	notSpeckle	notSpeckle
AK6	USP22	9606.ENSP00000370193	9606.ENSP00000261497	0	0.605	0.900	0	0.958	notSpeckle	notSpeckle
AK6	KANSL1	9606.ENSP00000370193	9606.ENSP00000262419	0	0	0.900	0	0.900	notSpeckle	notSpeckle
AK6	KAT2B	9606.ENSP00000370193	9606.ENSP00000263754	0	0.753	0.900	0	0.974	notSpeckle	notSpeckle
AK6	TAF12	9606.ENSP00000370193	9606.ENSP00000263974	0	0.990	0.900	0	0.998	notSpeckle	notSpeckle
AK6	NOP58	9606.ENSP00000370193	9606.ENSP00000264279	0	0.282	0.720	0	0.790	notSpeckle	notSpeckle
AK6	RBBP5	9606.ENSP00000370193	9606.ENSP00000264515	0	0	0.900	0	0.900	notSpeckle	notSpeckle
AK6	GTF2E1	9606.ENSP00000370193	9606.ENSP00000283875	0	0	0.900	0	0.900	notSpeckle	notSpeckle
AK6	ERCC3	9606.ENSP00000370193	9606.ENSP00000285398	0	0	0.900	0	0.900	notSpeckle	notSpeckle
AK6	TAF6L	9606.ENSP00000370193	9606.ENSP00000294168	0	0.807	0.900	0	0.979	notSpeckle	notSpeckle
AK6	TAF10	9606.ENSP00000370193	9606.ENSP00000299424	0	0.981	0.900	0	0.998	notSpeckle	notSpeckle
AK6	TADA3	9606.ENSP00000370193	9606.ENSP00000307684	0	0.821	0.900	0	0.981	notSpeckle	notSpeckle
AK6	TADA2B	9606.ENSP00000370193	9606.ENSP00000308022	0	0.786	0.720	0	0.937	notSpeckle	notSpeckle
AK6	TAF7	9606.ENSP00000370193	9606.ENSP00000312709	0	0.970	0.900	0	0.996	notSpeckle	notSpeckle
AK6	RUVBL1	9606.ENSP00000370193	9606.ENSP00000318297	0	0.270	0.900	0	0.923	notSpeckle	notSpeckle
AK6	PRPF31	9606.ENSP00000370193	9606.ENSP00000324122	0	0.057	0.900	0	0.901	notSpeckle	notSpeckle
AK6	GTF2H2	9606.ENSP00000370193	9606.ENSP00000328901	0	0	0.900	0	0.900	notSpeckle	notSpeckle
AK6	TAF9B	9606.ENSP00000370193	9606.ENSP00000339917	0	0.270	0.900	0	0.923	notSpeckle	notSpeckle
AK6	TAF3	9606.ENSP00000370193	9606.ENSP00000340271	0	0.850	0.900	0	0.984	notSpeckle	notSpeckle
AK6	GTF2E2	9606.ENSP00000370193	9606.ENSP00000348168	0	0	0.900	0	0.900	notSpeckle	notSpeckle
AK6	WDR5	9606.ENSP00000370193	9606.ENSP00000351446	0	0.270	0.900	0	0.923	notSpeckle	notSpeckle
AK6	TRRAP	9606.ENSP00000370193	9606.ENSP00000352925	0	0.838	0.900	0	0.983	notSpeckle	notSpeckle
AK6	TAF11	9606.ENSP00000370193	9606.ENSP00000354633	0	0.981	0.900	0	0.998	notSpeckle	notSpeckle
AK6	TAF13	9606.ENSP00000370193	9606.ENSP00000355051	0	0.967	0.900	0	0.996	notSpeckle	notSpeckle
AK6	TAF5	9606.ENSP00000370193	9606.ENSP00000358854	0	0.986	0.900	0	0.998	notSpeckle	notSpeckle
AK6	GTF2B	9606.ENSP00000370193	9606.ENSP00000359531	0	0.621	0.900	0	0.960	notSpeckle	notSpeckle
AK6	ZNHIT6	9606.ENSP00000370193	9606.ENSP00000359606	0	0	0.720	0	0.720	notSpeckle	notSpeckle
AK6	SUPT3H	9606.ENSP00000370193	9606.ENSP00000360515	0	0.885	0.900	0	0.988	notSpeckle	notSpeckle
AK6	TAF8	9606.ENSP00000370193	9606.ENSP00000362068	0	0.860	0.900	0	0.985	notSpeckle	notSpeckle
AK6	TAF2	9606.ENSP00000370193	9606.ENSP00000367406	0	0.960	0.900	0	0.995	notSpeckle	notSpeckle
AK6	NOP56	9606.ENSP00000370193	9606.ENSP00000370589	0	0.059	0.720	0	0.725	notSpeckle	notSpeckle
AK6	GTF2H3	9606.ENSP00000370193	9606.ENSP00000445162	0	0	0.900	0	0.900	notSpeckle	notSpeckle
AK6	TCEA1	9606.ENSP00000370193	9606.ENSP00000428426	0	0	0.900	0	0.900	notSpeckle	notSpeckle
AK6	ERCC2	9606.ENSP00000370193	9606.ENSP00000375809	0	0	0.900	0	0.900	notSpeckle	notSpeckle
AK6	GTF2H5	9606.ENSP00000370193	9606.ENSP00000476100	0	0	0.900	0	0.900	notSpeckle	notSpeckle
AK6	GTF2A1	9606.ENSP00000370193	9606.ENSP00000452454	0	0	0.900	0	0.900	notSpeckle	notSpeckle
AK6	GTF2F1	9606.ENSP00000370193	9606.ENSP00000377969	0	0	0.900	0	0.900	notSpeckle	notSpeckle
AK6	SUPT20H	9606.ENSP00000370193	9606.ENSP00000417510	0	0.788	0.720	0	0.938	notSpeckle	notSpeckle
AK6	TADA2A	9606.ENSP00000370193	9606.ENSP00000481091	0	0.439	0.900	0	0.941	notSpeckle	notSpeckle
AK6	KMT2A	9606.ENSP00000370193	9606.ENSP00000436786	0	0.483	0.900	0	0.946	notSpeckle	notSpeckle
AK6	ATXN7L3	9606.ENSP00000370193	9606.ENSP00000397259	0	0.685	0.900	0	0.967	notSpeckle	notSpeckle
AK6	GTF2A2	9606.ENSP00000370193	9606.ENSP00000379372	0	0.800	0.900	0	0.979	notSpeckle	notSpeckle
AK6	TAF1	9606.ENSP00000370193	9606.ENSP00000406549	0	0.979	0.900	0	0.997	notSpeckle	notSpeckle
AK6	TBP	9606.ENSP00000370193	9606.ENSP00000375942	0	0.986	0.900	0	0.998	notSpeckle	notSpeckle
AK6	TAF6	9606.ENSP00000370193	9606.ENSP00000399982	0	0.990	0.900	0	0.998	notSpeckle	notSpeckle
ALYREF	DDX39A	9606.ENSP00000421592	9606.ENSP00000242776	0	0.689	0.600	0	0.870	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus
ALYREF	SRSF6	9606.ENSP00000421592	9606.ENSP00000244020	0	0.285	0.800	0	0.850	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus
ALYREF	THOC2	9606.ENSP00000421592	9606.ENSP00000245838	0	0.780	0.900	0	0.977	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus
ALYREF	THOC1	9606.ENSP00000421592	9606.ENSP00000261600	0	0.600	0.900	0	0.958	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus
ALYREF	DHX38	9606.ENSP00000421592	9606.ENSP00000268482	0	0.257	0.800	0	0.845	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus
ALYREF	EIF4A3	9606.ENSP00000421592	9606.ENSP00000269349	0	0.551	0.800	0	0.906	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus
ALYREF	UPF3B	9606.ENSP00000421592	9606.ENSP00000276201	0	0.270	0.800	0	0.847	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus
ALYREF	THOC7	9606.ENSP00000421592	9606.ENSP00000295899	0	0.642	0.900	0	0.962	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus
ALYREF	U2AF2	9606.ENSP00000421592	9606.ENSP00000307863	0	0.449	0.800	0	0.885	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus
ALYREF	SRRM1	9606.ENSP00000421592	9606.ENSP00000326261	0	0.499	0.800	0	0.895	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus
ALYREF	THOC6	9606.ENSP00000421592	9606.ENSP00000326531	0	0.600	0.900	0	0.958	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus
ALYREF	SARNP	9606.ENSP00000421592	9606.ENSP00000337632	0	0.640	0.900	0	0.962	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus
ALYREF	CHTOP	9606.ENSP00000421592	9606.ENSP00000357679	0	0.287	0.900	0	0.925	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus
ALYREF	CDC40	9606.ENSP00000421592	9606.ENSP00000357928	0	0	0.800	0	0.800	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus
ALYREF	SRSF11	9606.ENSP00000421592	9606.ENSP00000359988	0	0	0.800	0	0.800	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus
ALYREF	MAGOH	9606.ENSP00000421592	9606.ENSP00000360525	0	0.511	0.600	0	0.796	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus
ALYREF	SRSF4	9606.ENSP00000421592	9606.ENSP00000362900	0	0.285	0.800	0	0.850	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus
ALYREF	DDX39B	9606.ENSP00000421592	9606.ENSP00000379475	0	0.759	0.900	0	0.974	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus
ALYREF	THOC5	9606.ENSP00000421592	9606.ENSP00000420306	0	0.656	0.900	0	0.964	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus
ALYREF	RBM8A	9606.ENSP00000421592	9606.ENSP00000463058	0	0.442	0.600	0	0.767	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus
AQR	BUD13	9606.ENSP00000156471	9606.ENSP00000260210	0	0.800	0	0	0.800	notSpeckle	notSpeckle
AQR	SF3B6	9606.ENSP00000156471	9606.ENSP00000233468	0	0.800	0	0	0.800	notSpeckle	notSpeckle
AQR	CACTIN	9606.ENSP00000156471	9606.ENSP00000415078	0	0.800	0	0	0.800	notSpeckle	notSpeckle
AQR	DHX16	9606.ENSP00000156471	9606.ENSP00000365625	0	0.800	0	0	0.800	notSpeckle	notSpeckle
AQR	SF3B4	9606.ENSP00000156471	9606.ENSP00000271628	0	0.800	0	0	0.800	notSpeckle	notSpeckle
AQR	SF3A1	9606.ENSP00000156471	9606.ENSP00000215793	0	0.800	0	0	0.800	notSpeckle	notSpeckle
AQR	DHX38	9606.ENSP00000156471	9606.ENSP00000268482	0	0.800	0	0	0.800	notSpeckle	notSpeckle
AQR	RNF113A	9606.ENSP00000156471	9606.ENSP00000360497	0	0.800	0	0	0.800	notSpeckle	notSpeckle
AQR	SLU7	9606.ENSP00000156471	9606.ENSP00000297151	0	0.800	0	0	0.800	notSpeckle	notSpeckle
AQR	MAGOHB	9606.ENSP00000156471	9606.ENSP00000319240	0	0.800	0	0	0.800	notSpeckle	notSpeckle
AQR	CASC3	9606.ENSP00000156471	9606.ENSP00000264645	0	0.800	0	0	0.800	notSpeckle	notSpeckle
AQR	PHF5A	9606.ENSP00000156471	9606.ENSP00000216252	0	0.800	0	0	0.800	notSpeckle	notSpeckle
AQR	SRRM1	9606.ENSP00000156471	9606.ENSP00000326261	0	0.800	0	0	0.800	notSpeckle	notSpeckle
AQR	RBMX2	9606.ENSP00000156471	9606.ENSP00000339090	0	0.800	0	0	0.800	notSpeckle	notSpeckle
AQR	RBM8A	9606.ENSP00000156471	9606.ENSP00000463058	0	0.800	0	0	0.800	notSpeckle	notSpeckle
AQR	CWC25	9606.ENSP00000156471	9606.ENSP00000478070	0	0.800	0	0	0.800	notSpeckle	notSpeckle
AQR	SF3A3	9606.ENSP00000156471	9606.ENSP00000362110	0	0.800	0	0	0.800	notSpeckle	notSpeckle
AQR	SF3B2	9606.ENSP00000156471	9606.ENSP00000318861	0	0.800	0	0	0.800	notSpeckle	notSpeckle
AQR	SF3B5	9606.ENSP00000156471	9606.ENSP00000356541	0	0.800	0	0	0.800	notSpeckle	notSpeckle
AQR	SF3B3	9606.ENSP00000156471	9606.ENSP00000305790	0	0.800	0	0	0.800	notSpeckle	notSpeckle
AQR	PPIG	9606.ENSP00000156471	9606.ENSP00000260970	0	0.826	0	0	0.826	notSpeckle	notSpeckle
AQR	CWC27	9606.ENSP00000156471	9606.ENSP00000370460	0	0.826	0	0	0.826	notSpeckle	notSpeckle
AQR	SDE2	9606.ENSP00000156471	9606.ENSP00000272091	0	0.837	0	0	0.837	notSpeckle	notSpeckle
AQR	MAGOH	9606.ENSP00000156471	9606.ENSP00000360525	0	0.848	0	0	0.848	notSpeckle	notSpeckle
AQR	DHX15	9606.ENSP00000156471	9606.ENSP00000336741	0	0.850	0	0	0.850	notSpeckle	notSpeckle
AQR	SF3B1	9606.ENSP00000156471	9606.ENSP00000335321	0	0.855	0	0	0.855	notSpeckle	notSpeckle
AQR	SNIP1	9606.ENSP00000156471	9606.ENSP00000296215	0	0.892	0	0	0.892	notSpeckle	notSpeckle
AQR	CWF19L2	9606.ENSP00000156471	9606.ENSP00000282251	0	0.905	0	0	0.905	notSpeckle	notSpeckle
AQR	EIF4A3	9606.ENSP00000156471	9606.ENSP00000269349	0	0.876	0	0	0.876	notSpeckle	notSpeckle
AQR	CCDC94	9606.ENSP00000156471	9606.ENSP00000262962	0	0.916	0	0	0.916	notSpeckle	notSpeckle
AQR	SF3A2	9606.ENSP00000156471	9606.ENSP00000221494	0	0.920	0	0	0.920	notSpeckle	notSpeckle
AQR	ISY1-RAB43	9606.ENSP00000156471	9606.ENSP00000411822	0	0.933	0	0	0.933	notSpeckle	notSpeckle
AQR	ISY1	9606.ENSP00000156471	9606.ENSP00000273541	0	0.943	0	0	0.943	notSpeckle	notSpeckle
AQR	SNRNP200	9606.ENSP00000156471	9606.ENSP00000317123	0	0.955	0	0	0.955	notSpeckle	notSpeckle
AQR	CWC22	9606.ENSP00000156471	9606.ENSP00000387006	0	0.800	0.900	0	0.979	notSpeckle	notSpeckle
AQR	SRRM2	9606.ENSP00000156471	9606.ENSP00000301740	0	0.800	0.900	0	0.979	notSpeckle	notSpeckle
AQR	PPIE	9606.ENSP00000156471	9606.ENSP00000361918	0	0.799	0.900	0	0.979	notSpeckle	notSpeckle
AQR	SNRPB2	9606.ENSP00000156471	9606.ENSP00000246071	0	0.864	0.900	0	0.985	notSpeckle	notSpeckle
AQR	SNRPB	9606.ENSP00000156471	9606.ENSP00000412566	0	0.871	0.900	0	0.986	notSpeckle	notSpeckle
AQR	PLRG1	9606.ENSP00000156471	9606.ENSP00000424417	0	0.886	0.900	0	0.988	notSpeckle	notSpeckle
AQR	SNRPD2	9606.ENSP00000156471	9606.ENSP00000342374	0	0.905	0.900	0	0.990	notSpeckle	notSpeckle
AQR	PPIL1	9606.ENSP00000156471	9606.ENSP00000362803	0	0.905	0.900	0	0.990	notSpeckle	notSpeckle
AQR	SNRPD3	9606.ENSP00000156471	9606.ENSP00000215829	0	0.905	0.900	0	0.990	notSpeckle	notSpeckle
AQR	SNRPD1	9606.ENSP00000156471	9606.ENSP00000300413	0	0.905	0.900	0	0.990	notSpeckle	notSpeckle
AQR	SNW1	9606.ENSP00000156471	9606.ENSP00000261531	0	0.912	0.900	0	0.990	notSpeckle	notSpeckle
AQR	CWC15	9606.ENSP00000156471	9606.ENSP00000475615	0	0.905	0.900	0	0.990	notSpeckle	notSpeckle
AQR	SNRPF	9606.ENSP00000156471	9606.ENSP00000266735	0	0.914	0.900	0	0.991	notSpeckle	notSpeckle
AQR	SNRPE	9606.ENSP00000156471	9606.ENSP00000400591	0	0.923	0.900	0	0.991	notSpeckle	notSpeckle
AQR	SNRPG	9606.ENSP00000156471	9606.ENSP00000272348	0	0.922	0.900	0	0.991	notSpeckle	notSpeckle
AQR	DHX8	9606.ENSP00000156471	9606.ENSP00000262415	0	0.916	0.900	0	0.991	notSpeckle	notSpeckle
AQR	CDC5L	9606.ENSP00000156471	9606.ENSP00000360532	0	0.925	0.900	0	0.992	notSpeckle	notSpeckle
AQR	SYF2	9606.ENSP00000156471	9606.ENSP00000236273	0	0.924	0.900	0	0.992	notSpeckle	notSpeckle
AQR	SNRNP40	9606.ENSP00000156471	9606.ENSP00000263694	0	0.924	0.900	0	0.992	notSpeckle	notSpeckle
AQR	CRNKL1	9606.ENSP00000156471	9606.ENSP00000366557	0	0.931	0.900	0	0.992	notSpeckle	notSpeckle
AQR	RBM22	9606.ENSP00000156471	9606.ENSP00000199814	0	0.947	0.900	0	0.994	notSpeckle	notSpeckle
AQR	BCAS2	9606.ENSP00000156471	9606.ENSP00000358554	0	0.945	0.900	0	0.994	notSpeckle	notSpeckle
AQR	BUD31	9606.ENSP00000156471	9606.ENSP00000386023	0	0.964	0.900	0	0.996	notSpeckle	notSpeckle
AQR	EFTUD2	9606.ENSP00000156471	9606.ENSP00000392094	0	0.966	0.900	0	0.996	notSpeckle	notSpeckle
AQR	SNRPA1	9606.ENSP00000156471	9606.ENSP00000254193	0	0.968	0.900	0	0.996	notSpeckle	notSpeckle
AQR	CDC40	9606.ENSP00000156471	9606.ENSP00000357928	0	0.966	0.900	0	0.996	notSpeckle	notSpeckle
AQR	XAB2	9606.ENSP00000156471	9606.ENSP00000351137	0	0.951	0.900	0	0.994	notSpeckle	notSpeckle
AQR	PRPF8	9606.ENSP00000156471	9606.ENSP00000460348	0	0.981	0.900	0	0.998	notSpeckle	notSpeckle
AQR	PRPF19	9606.ENSP00000156471	9606.ENSP00000227524	0	0.989	0.900	0	0.998	notSpeckle	notSpeckle
ASH2L	KDM6B	9606.ENSP00000340896	9606.ENSP00000254846	0	0.519	0.540	0	0.769	notSpeckle	notSpeckle
ASH2L	KMT2C	9606.ENSP00000340896	9606.ENSP00000262189	0	0.948	0.900	0	0.994	notSpeckle	notSpeckle
ASH2L	SETD1A	9606.ENSP00000340896	9606.ENSP00000262519	0	0.894	0.900	0	0.989	notSpeckle	notSpeckle
ASH2L	RBBP5	9606.ENSP00000340896	9606.ENSP00000264515	0	0.995	0.900	0	0.999	notSpeckle	notSpeckle
ASH2L	RPS27A	9606.ENSP00000340896	9606.ENSP00000272317	0	0.953	0	0	0.953	notSpeckle	notSpeckle
ASH2L	WDR82	9606.ENSP00000340896	9606.ENSP00000296490	0	0.888	0.900	0	0.988	notSpeckle	notSpeckle
ASH2L	KMT2D	9606.ENSP00000340896	9606.ENSP00000301067	0	0.632	0.900	0	0.961	notSpeckle	notSpeckle
ASH2L	POLR2A	9606.ENSP00000340896	9606.ENSP00000480158	0	0.357	0.600	0	0.731	notSpeckle	notSpeckle
ASH2L	KDM6A	9606.ENSP00000340896	9606.ENSP00000367203	0	0.690	0.900	0	0.967	notSpeckle	notSpeckle
ASH2L	KMT2A	9606.ENSP00000340896	9606.ENSP00000436786	0	0.949	0.500	0	0.973	notSpeckle	notSpeckle
ASH2L	CXXC1	9606.ENSP00000340896	9606.ENSP00000390475	0	0.894	0.900	0	0.989	notSpeckle	notSpeckle
ASH2L	SETD1B	9606.ENSP00000340896	9606.ENSP00000442924	0	0.933	0.900	0	0.993	notSpeckle	notSpeckle
ASH2L	WDR5	9606.ENSP00000340896	9606.ENSP00000351446	0	0.981	0.900	0	0.998	notSpeckle	notSpeckle
ASH2L	DPY30	9606.ENSP00000340896	9606.ENSP00000345837	0	0.985	0.900	0	0.998	notSpeckle	notSpeckle
ATXN7L3	KAT2A	9606.ENSP00000397259	9606.ENSP00000225916	0	0.739	0.900	0	0.972	none	none
ATXN7L3	TAF4	9606.ENSP00000397259	9606.ENSP00000252996	0	0	0.900	0	0.900	none	none
ATXN7L3	TAF5L	9606.ENSP00000397259	9606.ENSP00000258281	0	0.782	0.900	0	0.977	none	none
ATXN7L3	USP22	9606.ENSP00000397259	9606.ENSP00000261497	0	0.702	0.900	0	0.968	none	none
ATXN7L3	KAT2B	9606.ENSP00000397259	9606.ENSP00000263754	0	0.782	0.900	0	0.977	none	none
ATXN7L3	TAF12	9606.ENSP00000397259	9606.ENSP00000263974	0	0.780	0.900	0	0.977	none	none
